variables,VIF
act,34.43970928760814
ap,9.460698736171574
at,144.5969534855293
ceq,23.7994172279934
che,8.243553152599793
cogs,30.75298117132797
csho,3.0831569015519693
dlc,4.007157316157552
dltis,2.325510483607417
dltt,25.18316662100817
dp,11.356103468031543
ib,55.31584996487633
invt,5.040736408195744
ivao,1.9682990419470543
ivst,2.423021073478426
lct,33.16679090681259
lt,107.46109694152052
ni,52.05841118974678
ppegt,10.005539934347734
pstk,1.1520365498515166
re,3.9287235590516527
rect,9.49958252546242
sale,53.59647947989582
sstk,1.4057638904384149
txc,5.112916830275045
txp,2.124642515207068
xint,12.270124732295125
prcc_f,1.3932641662405847
